country,n_nodes,within_weight,incoming_weight,outgoing_weight,external_weight,external_share,mean_rl,max_rl,scenario,metric,absorption_gain
SVK,49,17.464093829862875,20.51566489501136,27.818868686063364,13.406345921348972,0.43427777606642914,0.017187149966110912,0.037233350765815874,Food: Major agricultural exporters shock,baseline,
GBR,48,19.86268295100811,40.83550108221954,25.68121231299607,26.791347493199382,0.5742557982260194,0.01693265049618516,0.028100984028226125,Food: Major agricultural exporters shock,baseline,
DEU,48,19.870955047770295,68.71962543049086,26.536764567684962,55.51447990263523,0.7364085640569299,0.01692392723247617,0.023487318407884747,Food: Major agricultural exporters shock,baseline,
ITA,49,21.80215767254645,42.34762746803114,27.228388287051775,25.97170040999002,0.5436383296722662,0.01689235101104002,0.023552649352484988,Food: Major agricultural exporters shock,baseline,
SWE,49,20.13622015622943,28.773859175618025,27.18380583832504,15.685224701484202,0.4378724745410881,0.016777298158972637,0.024063630360662835,Food: Major agricultural exporters shock,baseline,
FRA,49,20.922517485717943,44.75986084147722,28.04104444538647,30.95587031542781,0.5967006999925341,0.01669311488810328,0.023447379696558506,Food: Major agricultural exporters shock,baseline,
LVA,48,16.775635068719584,18.359954027768474,25.869373975633472,10.678057865962778,0.3889479601657941,0.016248454041610877,0.02534771868767763,Food: Major agricultural exporters shock,baseline,
PER,49,19.06684010036836,20.148735370827158,23.85929686546614,5.874352035556576,0.23552811764339218,0.01619091474414737,0.03223511015943425,Food: Major agricultural exporters shock,baseline,
FIN,48,19.64607779536437,24.701273823780962,27.256581330043993,12.665699563096211,0.39198399464645356,0.01603236769984452,0.02205399229687155,Food: Major agricultural exporters shock,baseline,
LUX,44,13.868588284655127,16.567207513554486,26.995835604421142,15.82586654866537,0.5329569657869919,0.016020105730969094,0.02428898154491981,Food: Major agricultural exporters shock,baseline,
SVN,48,16.624066399162945,18.41323263055313,27.116806621240976,12.281906453468217,0.42489164838298316,0.015913498774423735,0.022533451393547885,Food: Major agricultural exporters shock,baseline,
ISL,49,17.664574315400827,17.93882045842644,26.553082189324865,9.162754016949648,0.34154552788249465,0.015449753801320127,0.03192154798610226,Food: Major agricultural exporters shock,baseline,
CHL,48,18.131909152859517,19.74107256254124,23.872132495663756,7.349386752485962,0.2884228015634089,0.01540586748946552,0.028536903348587567,Food: Major agricultural exporters shock,baseline,
ROW,49,17.69923184577388,47.450333494165534,23.486921819886987,35.53879162250476,0.6675452863812685,0.014692956443664204,0.02231100404186606,Food: Major agricultural exporters shock,baseline,
JOR,49,14.972092305235257,15.139894962694079,23.36918761549711,8.564897967720675,0.3638909592260726,0.014608950488594542,0.0188722549967443,Food: Major agricultural exporters shock,baseline,
BGD,49,19.26175955883079,19.660105644391138,22.77265943894318,3.9092459656727385,0.16871283214440905,0.01436865983950513,0.02205605997960934,Food: Major agricultural exporters shock,baseline,
AUT,49,18.0077188447167,26.0458355908356,26.614533282971728,16.64493118437393,0.4803364582622293,0.014312796619790792,0.023941732194447223,Food: Major agricultural exporters shock,baseline,
CIV,49,19.232200191971817,19.59112473928902,23.28045952757911,4.4071838829245,0.18643395568011767,0.014308140471983075,0.029117907167207552,Food: Major agricultural exporters shock,baseline,
SEN,49,16.079861567702665,16.17074699031589,22.457657804214154,6.468681659124712,0.2868780299486721,0.01416848466075703,0.024306503936499833,Food: Major agricultural exporters shock,baseline,
KAZ,49,17.804322174372658,20.280842575902334,21.243380660139575,5.91557888729659,0.24939306753079227,0.013877649127369471,0.02011300598232819,Food: Major agricultural exporters shock,baseline,
SGP,43,13.752424182405314,25.67909280719187,26.152710875446225,24.32695531782747,0.6388485221425091,0.013216081677751111,0.019595851910547434,Food: Major agricultural exporters shock,baseline,
ARE,49,13.744120345020459,21.89281675166057,23.66000792496802,18.06458398658767,0.5679132289785533,0.012562412218185421,0.018887298254731035,Food: Major agricultural exporters shock,baseline,
CMR,49,14.097126375560673,14.344181716200683,19.032319423149,5.182248388228338,0.26879753372302106,0.012193484003570497,0.019522098684337328,Food: Major agricultural exporters shock,baseline,
SAU,48,19.21393104795616,26.36504192822082,23.804579165760224,11.741758998068725,0.3793085852911401,0.012086504308157865,0.013374097489011735,Food: Major agricultural exporters shock,baseline,
THA,49,19.022098520708717,29.729355160249167,26.757099510063917,18.442257628895646,0.4922614325801086,0.011990792002125708,0.02343158842100561,Food: Major agricultural exporters shock,baseline,
PAK,49,19.367059746094036,19.83935936679919,23.310066361823363,4.415306236434482,0.1856546249300067,0.01192477805464515,0.016443509008192136,Food: Major agricultural exporters shock,baseline,
ZAF,49,23.746177607118156,27.0269948802819,28.828523926043122,8.36316359208871,0.26045889699833796,0.011864861471493465,0.017630248895489035,Food: Major agricultural exporters shock,baseline,
